Sl No.,Easting,Northing,Distance,Elevation,CS No.,
139,771224.0,2575398.3,193.10,-2.932,2,
140,771220.8,2575400.0,196.70,-2.779,2,
141,771220.0,2575400.5,197.65,-2.739,2,
142,771216.0,2575402.6,202.20,-2.562,2,
143,771213.5,2575404.0,205.08,-2.425,2,
144,771212.0,2575404.8,206.76,-2.345,2,
145,771209.5,2575406.2,209.58,-2.224,2,
146,771384.2,2575289.3,0.00,6.596,3,
147,771384.0,2575289.4,0.21,6.519,3,
148,771380.0,2575291.4,4.68,6.350,3,
149,771378.8,2575292.0,6.07,5.791,3,
150,771376.0,2575293.4,9.16,5.625,3,
151,771372.0,2575295.4,13.64,3.103,3,
152,771370.8,2575296.0,14.98,3.083,3,
153,771368.0,2575297.4,18.11,1.547,3,
154,771364.0,2575299.4,22.59,1.183,3,
155,771362.8,2575300.0,23.89,-0.028,3,
156,771360.0,2575301.4,27.06,-1.506,3,
157,771356.0,2575303.4,31.54,-3.787,3,
158,771354.9,2575304.0,32.81,-4.156,3,
159,771352.0,2575305.4,36.02,-5.309,3,
160,771348.0,2575307.5,40.49,-6.632,3,
161,771346.9,2575308.0,41.72,-7.099,3,
162,771344.0,2575309.5,44.97,-8.347,3,
163,771340.0,2575311.5,49.45,-9.942,3,
164,771338.9,2575312.0,50.63,-10.330,3,
165,771336.0,2575313.5,53.92,-11.241,3,
166,771332.0,2575315.5,58.40,-12.344,3,
167,771331.0,2575316.0,59.54,-12.620,3,
168,771328.0,2575317.5,62.87,-13.429,3,
169,771324.0,2575319.5,67.35,-14.425,3,
170,771323.0,2575320.0,68.45,-14.674,3,
171,771320.0,2575321.5,71.83,-15.362,3,
172,771316.0,2575323.5,76.30,-15.977,3,
173,771315.1,2575324.0,77.36,-16.103,3,
174,771312.0,2575325.5,80.78,-16.406,3,
175,771308.0,2575327.5,85.26,-16.341,3,
176,771307.1,2575328.0,86.28,-16.328,3,
177,771304.0,2575329.6,89.73,-16.241,3,
178,771300.0,2575331.6,94.21,-15.797,3,
179,771299.1,2575332.0,95.19,-15.652,3,
180,771296.0,2575333.6,98.68,-15.064,3,
181,771292.0,2575335.6,103.16,-14.202,3,
182,771291.2,2575336.0,104.10,-14.020,3,
183,771288.0,2575337.6,107.64,-13.284,3,
184,771284.0,2575339.6,112.11,-12.427,3,
185,771283.2,2575340.0,113.01,-12.252,3,
186,771280.0,2575341.6,116.59,-11.603,3,
187,771276.0,2575343.6,121.07,-10.843,3,
188,771275.2,2575344.0,121.92,-10.703,3,
189,771272.0,2575345.6,125.54,-10.128,3,
190,771268.0,2575347.6,130.02,-9.443,3,
191,771267.3,2575348.0,130.83,-9.312,3,
192,771264.0,2575349.6,134.49,-8.754,3,
193,771260.0,2575351.7,138.97,-7.831,3,
194,771259.3,2575352.0,139.75,-7.657,3,
195,771256.0,2575353.7,143.45,-6.744,3,
196,771252.0,2575355.7,147.92,-5.850,3,
197,771251.3,2575356.0,148.66,-5.726,3,
198,771248.0,2575357.7,152.40,-5.190,3,
199,771244.0,2575359.7,156.88,-4.557,3,
200,771243.4,2575360.0,157.57,-4.463,3,
201,771240.0,2575361.7,161.35,-4.128,3,
202,771236.0,2575363.7,165.83,-3.749,3,
203,771235.4,2575364.0,166.48,-3.703,3,
204,771232.0,2575365.7,170.30,-3.555,3,
205,771228.0,2575367.7,174.78,-3.257,3,
206,771227.5,2575368.0,175.39,-3.231,3,
207,771224.0,2575369.7,179.26,-3.105,3,
208,771220.0,2575371.7,183.73,-2.942,3,
209,771219.5,2575372.0,184.30,-2.916,3,
210,771216.0,2575373.8,188.21,-2.751,3,
211,771212.0,2575375.8,192.69,-2.643,3,
212,771211.5,2575376.0,193.22,-2.614,3,
213,771208.0,2575377.8,197.16,-2.390,3,
214,771204.0,2575379.8,201.64,-2.168,3,
215,771203.6,2575380.0,202.13,-2.153,3,
216,771200.0,2575381.8,206.11,-2.025,3,
217,771196.1,2575383.7,210.43,-2.012,3,
218,771382.5,2575269.0,0.00,6.286,4,
219,771380.0,2575270.2,2.75,5.911,4,
220,771376.4,2575272.0,6.72,4.679,4,
221,771376.0,2575272.2,7.22,4.502,4,
222,771372.0,2575274.2,11.68,3.241,4,
223,771368.4,2575276.0,15.70,3.083,4,
224,771368.0,2575276.2,16.15,1.580,4,
225,771364.0,2575278.2,20.62,0.981,4,
226,771360.4,2575280.0,24.67,0.541,4,
227,771360.0,2575280.2,25.09,0.396,4,
228,771356.0,2575282.2,29.56,0.043,4,
229,771352.3,2575284.0,33.65,-0.041,4,
230,771348.0,2575286.2,38.49,-0.087,4,
231,771344.3,2575288.0,42.62,-0.829,4,
232,771344.0,2575288.2,42.96,-0.921,4,
233,771340.0,2575290.1,47.43,-3.686,4,
234,771336.3,2575292.0,51.60,-5.938,4,
235,771336.0,2575292.1,51.90,-6.101,4,
236,771332.0,2575294.1,56.37,-8.140,4,
237,771328.2,2575296.0,60.57,-9.829,4,
238,771328.0,2575296.1,60.83,-9.932,4,
239,771324.0,2575298.1,65.30,-11.543,4,
240,771320.2,2575300.0,69.55,-12.731,4,
241,771320.0,2575300.1,69.77,-12.773,4,
242,771316.0,2575302.1,74.24,-13.907,4,
243,771312.2,2575304.0,78.52,-14.987,4,
244,771312.0,2575304.1,78.71,-15.038,4,
245,771308.0,2575306.1,83.18,-15.803,4,
246,771304.1,2575308.0,87.50,-16.254,4,
247,771304.0,2575308.1,87.64,-16.271,4,
248,771300.0,2575310.1,92.11,-16.330,4,
249,771296.1,2575312.0,96.48,-16.313,4,
250,771296.0,2575312.0,96.58,-16.314,4,
251,771292.0,2575314.0,101.05,-15.893,4,
252,771288.1,2575316.0,105.45,-15.372,4,
253,771288.0,2575316.0,105.52,-15.364,4,
254,771284.0,2575318.0,109.99,-14.633,4,
255,771280.0,2575320.0,114.43,-13.893,4,
256,771280.0,2575320.0,114.45,-13.889,4,
257,771276.0,2575322.0,118.92,-13.160,4,
258,771272.0,2575324.0,123.39,-12.495,4,
259,771272.0,2575324.0,123.40,-12.493,4,
260,771268.0,2575326.0,127.86,-11.785,4,
261,771264.0,2575328.0,132.33,-11.147,4,
262,771264.0,2575328.0,132.38,-11.141,4,
263,771260.0,2575330.0,136.80,-10.506,4,
264,771256.0,2575332.0,141.26,-9.861,4,
265,771255.9,2575332.0,141.35,-9.848,4,
266,771252.0,2575334.0,145.73,-9.160,4,
267,771248.0,2575335.9,150.20,-8.605,4,
268,771247.9,2575336.0,150.33,-8.594,4,
269,771244.0,2575337.9,154.67,-8.289,4,
270,771240.0,2575339.9,159.14,-7.776,4,
271,771239.9,2575340.0,159.30,-7.747,4,
272,771236.0,2575341.9,163.61,-6.803,4,
273,771232.0,2575343.9,168.07,-5.896,4,
274,771231.8,2575344.0,168.28,-5.856,4,
275,771228.0,2575345.9,172.54,-5.035,4,
276,771224.0,2575347.9,177.01,-4.005,4,
277,771223.8,2575348.0,177.25,-3.973,4,
278,771220.0,2575349.9,181.48,-3.441,4,
279,771216.0,2575351.9,185.95,-3.006,4,
280,771215.7,2575352.0,186.23,-2.992,4,
281,771212.0,2575353.9,190.41,-2.830,4,
282,771208.0,2575355.9,194.88,-2.598,4,
283,771207.7,2575356.0,195.20,-2.585,4,
284,771204.0,2575357.8,199.35,-2.452,4,
285,771200.0,2575359.8,203.82,-2.299,4,
286,771199.7,2575360.0,204.18,-2.292,4,
287,771196.0,2575361.8,208.29,-2.227,4,
288,771192.0,2575363.8,212.76,-2.072,4,
289,771191.6,2575364.0,213.16,-2.044,4,
290,771188.0,2575365.8,217.22,-1.791,4,
291,771184.0,2575367.8,221.69,-1.765,4,
292,771183.6,2575368.0,222.13,-1.764,4,
293,771183.2,2575368.2,222.58,-1.761,4,
294,771360.9,2575258.7,0.00,6.811,5,
295,771360.0,2575259.1,1.66,6.725,5,
296,771358.1,2575260.0,7.24,6.615,5,
297,771356.0,2575261.0,8.54,5.697,5,
298,771352.0,2575262.9,11.94,5.525,5,
299,771349.6,2575264.0,16.36,2.931,5,
300,771348.0,2575264.8,19.91,2.814,5,
301,771344.0,2575266.7,21.74,1.256,5,
302,771341.2,2575268.0,25.78,0.715,5,
303,771340.0,2575268.6,27.34,0.030,5,
304,771336.0,2575270.5,27.55,-0.077,5,
305,771332.7,2575272.0,31.16,-1.859,5,
306,771332.0,2575272.4,31.98,-2.255,5,
307,771328.0,2575274.2,36.40,-3.695,5,
308,771324.3,2575276.0,40.50,-4.749,5,
309,771324.0,2575276.1,40.83,-4.869,5,
310,771320.0,2575278.0,45.26,-7.473,5,
311,771316.0,2575279.9,49.68,-8.551,5,
312,771315.9,2575280.0,49.83,-8.581,5,
313,771312.0,2575281.8,54.11,-9.586,5,
314,771308.0,2575283.7,58.54,-11.187,5,
315,771307.4,2575284.0,59.17,-11.441,5,
316,771304.0,2575285.6,62.96,-12.826,5,
317,771300.0,2575287.5,67.39,-13.904,5,
318,771299.0,2575288.0,68.51,-14.126,5,
319,771296.0,2575289.4,71.82,-14.678,5,
320,771292.0,2575291.3,76.24,-15.011,5,
321,771290.6,2575292.0,77.85,-15.118,5,
322,771288.0,2575293.2,80.67,-15.240,5,
323,771284.0,2575295.1,85.10,-15.135,5,
324,771282.1,2575296.0,87.19,-14.967,5,
325,771280.0,2575297.0,89.52,-14.724,5,
326,771276.0,2575298.9,93.95,-14.297,5,
327,771273.7,2575300.0,96.52,-14.002,5,
328,771272.0,2575300.8,98.38,-13.774,5,
329,771268.0,2575302.7,102.80,-13.202,5,
330,771265.2,2575304.0,105.86,-12.780,5,
331,771264.0,2575304.6,107.23,-12.595,5,
332,771260.0,2575306.5,111.66,-12.030,5,
333,771256.8,2575308.0,115.20,-11.519,5,
334,771256.0,2575308.4,116.08,-11.392,5,
335,771252.0,2575310.3,120.51,-10.766,5,
336,771248.4,2575312.0,124.54,-10.055,5,
337,771248.0,2575312.2,124.94,-9.986,5,
338,771244.0,2575314.1,129.36,-9.187,5,
339,771240.0,2575316.0,133.79,-8.395,5,
340,771239.9,2575316.0,133.88,-8.378,5,
341,771236.0,2575317.9,138.22,-7.600,5,
342,771232.0,2575319.8,142.64,-6.809,5,
343,771231.5,2575320.0,143.21,-6.704,5,
344,771228.0,2575321.7,147.07,-6.026,5,
345,771224.0,2575323.5,151.50,-5.273,5,
346,771223.0,2575324.0,152.55,-5.116,5,
347,771220.0,2575325.4,155.92,-4.619,5,
348,771216.0,2575327.3,160.35,-4.089,5,
349,771214.6,2575328.0,161.89,-3.944,5,
350,771212.0,2575329.2,164.78,-3.714,5,
351,771208.0,2575331.1,169.20,-3.392,5,
352,771206.2,2575332.0,171.23,-3.267,5,
353,771204.0,2575333.0,173.63,-3.164,5,
354,771200.0,2575334.9,178.06,-2.937,5,
355,771197.7,2575336.0,180.57,-2.798,5,
356,771196.0,2575336.8,182.48,-2.696,5,
357,771192.0,2575338.7,186.91,-2.495,5,
358,771189.3,2575340.0,189.91,-2.366,5,
359,771188.0,2575340.6,191.34,-2.304,5,
360,771184.0,2575342.5,195.76,-2.156,5,
361,771180.9,2575344.0,199.24,-2.045,5,
362,771180.0,2575344.4,200.19,-2.014,5,
363,771176.0,2575346.3,204.62,-1.857,5,
364,771172.4,2575348.0,208.58,-1.745,5,
365,771172.0,2575348.2,209.04,-1.737,5,
366,771169.8,2575349.2,211.44,-1.703,5,
367,771357.0,2575239.2,0.00,7.363,6,
368,771356.0,2575239.7,1.13,7.307,6,
369,771355.5,2575240.0,1.72,7.284,6,
370,771352.0,2575241.7,5.57,7.139,6,
371,771348.0,2575243.6,10.02,6.986,6,
372,771347.2,2575244.0,0.00,7.023,6,
373,771344.0,2575245.6,1.30,6.937,6,
374,771340.0,2575247.5,6.89,6.827,6,
375,771339.0,2575248.0,8.19,5.909,6,
376,771336.0,2575249.5,11.59,5.737,6,
377,771332.0,2575251.4,16.01,3.143,6,
378,771330.8,2575252.0,19.55,3.026,6,
379,771328.0,2575253.3,21.39,1.468,6,
380,771324.0,2575255.3,25.42,0.927,6,
381,771322.5,2575256.0,26.98,0.242,6,
382,771320.0,2575257.2,27.81,0.162,6,
383,771316.0,2575259.2,29.18,-0.189,6,
384,771314.3,2575260.0,32.26,-0.191,6,
385,771312.0,2575261.1,36.70,-0.322,6,
386,771308.0,2575263.1,38.33,-0.537,6,
387,771306.1,2575264.0,41.15,-0.578,6,
388,771304.0,2575265.0,45.60,-1.988,6,
389,771300.0,2575266.9,47.49,-2.432,6,
390,771297.8,2575268.0,50.05,-3.068,6,
391,771296.0,2575268.9,67.84,-12.391,6,
392,771292.0,2575270.8,72.28,-13.467,6,
393,771289.6,2575272.0,74.94,-13.897,6,
394,771288.0,2575272.8,76.73,-14.318,6,
395,771284.0,2575274.7,81.18,-15.192,6,
396,771281.4,2575276.0,84.10,-15.512,6,
397,771280.0,2575276.7,85.62,-15.645,6,
398,771276.0,2575278.6,90.07,-15.732,6,
399,771273.1,2575280.0,93.25,-15.667,6,
400,771272.0,2575280.6,94.52,-15.622,6,
401,771268.0,2575282.5,98.97,-15.325,6,
402,771264.9,2575284.0,102.40,-14.997,6,
403,771264.0,2575284.4,103.41,-14.897,6,
404,771260.0,2575286.4,107.86,-14.363,6,
405,771256.7,2575288.0,111.55,-13.956,6,
406,771256.0,2575288.3,112.31,-13.866,6,
407,771252.0,2575290.3,116.75,-13.245,6,
408,771248.4,2575292.0,120.71,-12.554,6,
409,771248.0,2575292.2,121.20,-12.470,6,
410,771244.0,2575294.2,125.65,-11.672,6,
411,771240.2,2575296.0,129.86,-10.893,6,
412,771240.0,2575296.1,130.10,-10.849,6,
413,771236.0,2575298.0,134.54,-10.067,6,
414,771232.0,2575300.0,138.99,-9.315,6,
415,771232.0,2575300.0,139.01,-9.311,6,
416,771228.0,2575301.9,143.44,-8.486,6,
417,771224.0,2575303.9,147.88,-7.630,6,
418,771223.7,2575304.0,148.16,-7.580,6,
419,771220.0,2575305.8,152.33,-6.792,6,
420,771216.0,2575307.8,156.78,-6.079,6,
421,771215.5,2575308.0,157.32,-5.993,6,
422,771212.0,2575309.7,161.23,-5.376,6,
423,771208.0,2575311.7,165.67,-4.801,6,
424,771207.3,2575312.0,166.47,-4.712,6,
425,771204.0,2575313.6,170.12,-4.312,6,
426,771200.0,2575315.5,174.57,-3.922,6,
427,771199.1,2575316.0,175.62,-3.855,6,
428,771196.0,2575317.5,179.02,-3.632,6,
429,771192.0,2575319.4,183.46,-3.358,6,
430,771190.8,2575320.0,184.77,-3.296,6,
431,771188.0,2575321.4,187.91,-3.146,6,
432,771184.0,2575323.3,192.36,-2.924,6,
433,771182.6,2575324.0,193.93,-2.838,6,
434,771180.0,2575325.3,196.80,-2.693,6,
435,771176.0,2575327.2,201.25,-2.495,6,
436,771174.4,2575328.0,203.08,-2.400,6,
437,771172.0,2575329.1,205.70,-2.257,6,
438,771168.0,2575331.1,210.15,-1.959,6,
439,771166.1,2575332.0,212.23,-1.838,6,
440,771164.0,2575333.0,214.59,-1.717,6,
441,771160.0,2575335.0,219.04,-1.596,6,
442,771158.2,2575335.9,221.05,-1.570,6,
443,771334.2,2575229.3,0.00,7.023,7,
444,771332.0,2575230.2,1.30,6.937,7,
445,771328.0,2575231.9,6.89,6.827,7,
446,771327.8,2575232.0,8.19,5.909,7,
447,771324.0,2575233.6,11.59,5.737,7,
448,771320.0,2575235.3,16.01,3.143,7,
449,771318.3,2575236.0,19.55,3.026,7,
450,771316.0,2575237.0,21.39,1.468,7,
451,771312.0,2575238.7,25.42,0.927,7,
452,771308.8,2575240.0,26.98,0.242,7,
453,771308.0,2575240.4,28.38,-1.170,7,
454,771304.0,2575242.0,32.73,-2.160,7,
455,771300.0,2575243.7,37.07,-6.363,7,
456,771299.3,2575244.0,37.78,-6.567,7,
457,771296.0,2575245.4,41.41,-7.801,7,
458,771292.0,2575247.1,45.75,-9.938,7,
459,771289.9,2575248.0,48.07,-10.990,7,
460,771288.0,2575248.8,50.09,-11.878,7,
461,771284.0,2575250.5,54.43,-13.397,7,
462,771280.4,2575252.0,58.37,-14.400,7,
463,771280.0,2575252.2,58.77,-14.491,7,
464,771276.0,2575253.8,63.11,-15.319,7,
465,771272.0,2575255.5,67.45,-15.740,7,
466,771270.9,2575256.0,68.67,-15.807,7,
467,771268.0,2575257.2,71.79,-15.917,7,
468,771264.0,2575258.9,76.13,-15.884,7,
469,771261.4,2575260.0,78.97,-15.706,7,
470,771260.0,2575260.6,80.48,-15.599,7,
471,771256.0,2575262.3,84.82,-15.068,7,
472,771252.0,2575264.0,89.16,-14.338,7,
473,771251.9,2575264.0,89.27,-14.320,7,
474,771248.0,2575265.6,93.50,-13.501,7,
475,771244.0,2575267.3,97.84,-12.562,7,
476,771242.4,2575268.0,99.56,-12.240,7,
477,771240.0,2575269.0,102.18,-11.772,7,
478,771236.0,2575270.7,106.52,-11.070,7,
479,771232.9,2575272.0,109.86,-10.603,7,
480,771232.0,2575272.4,110.86,-10.480,7,
481,771228.0,2575274.1,115.20,-9.896,7,
482,771224.0,2575275.8,119.54,-9.347,7,
483,771223.4,2575276.0,120.16,-9.256,7,
484,771220.0,2575277.4,123.88,-8.709,7,
485,771216.0,2575279.1,128.22,-8.060,7,
486,771213.9,2575280.0,130.46,-7.724,7,
487,771212.0,2575280.8,132.57,-7.401,7,
488,771208.0,2575282.5,136.91,-6.750,7,
489,771204.5,2575284.0,140.76,-6.213,7,
490,771204.0,2575284.2,141.25,-6.143,7,
491,771200.0,2575285.9,145.59,-5.558,7,
492,771196.0,2575287.6,149.93,-5.028,7,
493,771195.0,2575288.0,151.05,-4.909,7,
494,771192.0,2575289.2,154.27,-4.585,7,
495,771188.0,2575290.9,158.61,-4.206,7,
496,771185.5,2575292.0,161.35,-3.999,7,
497,771184.0,2575292.6,162.95,-3.881,7,
498,771180.0,2575294.3,167.29,-3.619,7,
499,771176.0,2575296.0,171.63,-3.388,7,
500,771176.0,2575296.0,171.65,-3.387,7,
501,771172.0,2575297.7,175.97,-3.165,7,
502,771168.0,2575299.4,180.31,-2.900,7,
503,771166.5,2575300.0,181.95,-2.798,7,
504,771164.0,2575301.1,184.66,-2.633,7,
505,771160.0,2575302.7,189.00,-2.368,7,
506,771157.0,2575304.0,192.24,-2.183,7,
507,771156.0,2575304.4,193.34,-2.124,7,
508,771152.0,2575306.1,197.68,-1.900,7,
509,771148.0,2575307.8,202.02,-1.607,7,
510,771147.5,2575308.0,202.54,-1.578,7,
511,771144.0,2575309.5,206.36,-1.405,7,
512,771141.8,2575310.4,208.74,-1.360,7,
513,771336.7,2575206.3,0.00,7.021,8,
514,771336.0,2575206.6,13.54,6.435,8,
515,771333.0,2575208.0,14.82,5.836,8,
516,771332.0,2575208.4,20.10,5.854,8,
517,771328.0,2575210.2,23.54,3.315,8,
518,771324.1,2575212.0,26.85,3.272,8,
519,771324.0,2575212.0,27.63,1.688,8,
520,771320.0,2575213.8,34.40,1.584,8,
521,771316.0,2575215.6,35.90,-0.132,8,
522,771315.2,2575216.0,35.91,-0.346,8,
523,771312.0,2575217.4,40.29,-1.029,8,
524,771308.0,2575219.2,43.16,-1.695,8,
525,771306.3,2575220.0,44.68,-2.026,8,
526,771304.0,2575221.0,49.06,-3.947,8,
527,771300.0,2575222.8,52.91,-6.350,8,
528,771297.4,2575224.0,53.45,-6.681,8,
529,771284.0,2575230.0,57.84,-8.214,8,
530,771280.0,2575231.8,62.22,-9.925,8,
531,771279.6,2575232.0,62.65,-10.079,8,
532,771276.0,2575233.6,66.61,-11.345,8,
533,771272.0,2575235.4,71.00,-13.029,8,
534,771270.7,2575236.0,72.40,-13.469,8,
535,771268.0,2575237.2,75.38,-14.409,8,
536,771264.0,2575239.0,79.77,-15.610,8,
537,771261.8,2575240.0,82.15,-15.916,8,
538,771260.0,2575240.8,84.15,-16.052,8,
539,771256.0,2575242.6,88.54,-15.891,8,
540,771252.9,2575244.0,91.90,-15.716,8,
541,771252.0,2575244.4,92.93,-15.660,8,
542,771248.0,2575246.2,97.31,-15.440,8,
543,771244.0,2575248.0,101.65,-15.073,8,
544,771244.0,2575248.0,101.70,-15.068,8,
545,771240.0,2575249.8,106.08,-14.351,8,
546,771236.0,2575251.6,110.47,-13.745,8,
547,771235.1,2575252.0,111.40,-13.624,8,
548,771232.0,2575253.4,114.86,-13.054,8,
549,771228.0,2575255.2,119.24,-11.957,8,
550,771226.3,2575256.0,121.15,-11.545,8,
551,771224.0,2575257.0,123.63,-11.064,8,
552,771220.0,2575258.8,128.01,-10.475,8,
553,771217.4,2575260.0,130.90,-10.100,8,
554,771216.0,2575260.6,132.40,-9.898,8,
555,771212.0,2575262.4,136.79,-9.447,8,
556,771208.5,2575264.0,140.65,-8.998,8,
557,771208.0,2575264.2,141.17,-8.932,8,
558,771204.0,2575266.0,145.56,-8.365,8,
559,771200.0,2575267.8,149.95,-7.707,8,
560,771199.6,2575268.0,150.40,-7.636,8,
561,771196.0,2575269.6,154.33,-6.987,8,
562,771192.0,2575271.4,158.72,-6.278,8,
563,771190.7,2575272.0,160.15,-6.035,8,
564,771188.0,2575273.2,163.10,-5.556,8,
565,771184.0,2575275.0,167.49,-4.984,8,
566,771181.8,2575276.0,169.90,-4.752,8,
567,771180.0,2575276.8,171.88,-4.569,8,
568,771176.0,2575278.6,176.26,-4.239,8,
569,771172.9,2575280.0,179.65,-3.999,8,
570,771172.0,2575280.4,180.65,-3.926,8,
571,771168.0,2575282.2,185.03,-3.601,8,
572,771164.0,2575284.0,189.40,-3.243,8,
573,771164.0,2575284.0,189.42,-3.242,8,
574,771160.0,2575285.8,193.81,-2.898,8,
575,771156.0,2575287.6,198.19,-2.567,8,
576,771155.1,2575288.0,199.15,-2.505,8,
577,771152.0,2575289.4,202.58,-2.285,8,
578,771148.0,2575291.2,206.97,-2.013,8,
579,771146.2,2575292.0,208.90,-1.886,8,
580,771144.0,2575293.0,211.35,-1.717,8,
581,771140.0,2575294.8,215.74,-1.416,8,
582,771137.3,2575296.0,218.65,-1.299,8,
583,771136.0,2575296.6,220.12,-1.249,8,
584,771132.7,2575298.1,223.75,-1.180,8,
585,771329.4,2575191.1,0.00,6.312,9,
586,771328.0,2575191.7,1.47,5.736,9,
587,771327.4,2575192.0,5.67,5.678,9,
588,771324.0,2575193.6,7.91,3.579,9,
589,771320.0,2575195.4,12.11,3.263,9,
590,771318.8,2575196.0,13.41,1.274,9,
591,771316.0,2575197.3,13.51,1.341,9,
592,771312.0,2575199.1,21.31,1.133,9,
593,771310.1,2575200.0,22.58,0.628,9,
594,771308.0,2575201.0,23.58,0.360,9,
595,771304.0,2575202.8,27.98,-0.370,9,
596,771301.4,2575204.0,30.79,-0.489,9,
597,771300.0,2575204.7,32.39,-0.809,9,
598,771296.0,2575206.5,36.80,-0.961,9,
599,771292.8,2575208.0,40.33,-1.124,9,
600,771292.0,2575208.4,41.20,-1.316,9,
601,771288.0,2575210.2,45.61,-2.760,9,
602,771284.1,2575212.0,49.86,-4.953,9,
603,771284.0,2575212.1,50.01,-5.019,9,
604,771280.0,2575213.9,54.42,-6.803,9,
605,771276.0,2575215.8,58.83,-8.133,9,
606,771275.5,2575216.0,59.40,-8.249,9,
607,771272.0,2575217.6,63.23,-9.366,9,
608,771268.0,2575219.5,67.64,-10.953,9,
609,771266.8,2575220.0,68.93,-11.531,9,
610,771264.0,2575221.3,72.05,-12.966,9,
611,771260.0,2575223.2,76.45,-14.173,9,
612,771258.2,2575224.0,78.47,-14.679,9,
613,771256.0,2575225.0,80.86,-15.165,9,
614,771252.0,2575226.9,85.27,-15.136,9,
615,771249.5,2575228.0,88.01,-15.059,9,
616,771248.0,2575228.7,89.67,-14.957,9,
617,771244.0,2575230.5,94.08,-14.661,9,
618,771240.9,2575232.0,97.54,-14.398,9,
619,771240.0,2575232.4,98.49,-14.304,9,
620,771236.0,2575234.2,102.89,-13.642,9,
621,771232.2,2575236.0,107.08,-12.917,9,
622,771232.0,2575236.1,107.30,-12.880,9,
623,771228.0,2575237.9,111.71,-12.293,9,
624,771224.0,2575239.8,116.11,-11.471,9,
625,771223.5,2575240.0,116.61,-11.394,9,
626,771220.0,2575241.6,120.52,-10.837,9,
627,771216.0,2575243.5,124.92,-10.298,9,
628,771214.9,2575244.0,126.15,-10.189,9,
629,771212.0,2575245.3,129.33,-9.902,9,
630,771208.0,2575247.2,133.74,-9.480,9,
631,771206.2,2575248.0,135.68,-9.249,9,
632,771204.0,2575249.0,138.14,-8.989,9,
633,771200.0,2575250.9,142.55,-8.443,9,
634,771197.6,2575252.0,145.22,-8.087,9,
635,771196.0,2575252.7,146.96,-7.850,9,
636,771192.0,2575254.6,151.36,-7.246,9,
637,771188.9,2575256.0,154.75,-6.787,9,
638,771188.0,2575256.4,155.77,-6.637,9,
639,771184.0,2575258.3,160.18,-6.009,9,
640,771180.3,2575260.0,164.29,-5.497,9,
641,771180.0,2575260.1,164.58,-5.460,9,
642,771176.0,2575262.0,168.99,-4.981,9,
643,771172.0,2575263.8,173.40,-4.552,9,
644,771171.6,2575264.0,173.82,-4.513,9,
645,771168.0,2575265.7,177.80,-4.144,9,
646,771164.0,2575267.5,182.21,-3.728,9,
647,771163.0,2575268.0,183.36,-3.628,9,
648,771160.0,2575269.4,186.61,-3.353,9,
649,771156.0,2575271.2,191.02,-2.977,9,
650,771154.3,2575272.0,192.89,-2.819,9,
651,771152.0,2575273.1,195.43,-2.615,9,
652,771148.0,2575274.9,199.83,-2.303,9,
653,771145.6,2575276.0,202.43,-2.138,9,
654,771144.0,2575276.8,204.24,-2.013,9,
655,771140.0,2575278.6,208.65,-1.689,9,
656,771137.0,2575280.0,211.96,-1.515,9,
657,771136.0,2575280.5,213.05,-1.450,9,
658,771132.0,2575282.3,217.46,-1.198,9,
659,771128.3,2575284.0,221.50,-1.010,9,
660,771128.0,2575284.2,221.87,-0.997,9,
661,771124.0,2575286.0,226.27,-0.784,9,
662,771121.7,2575287.1,228.84,-0.727,9,
663,771324.7,2575171.7,0.00,6.891,10,
664,771324.0,2575172.0,0.72,6.875,10,
665,771324.0,2575172.0,0.76,6.874,10,
666,771320.0,2575174.0,5.24,6.989,10,
667,771316.1,2575176.0,9.60,7.042,10,
668,771316.0,2575176.1,9.72,7.043,10,
669,771312.0,2575178.1,14.20,6.400,10,
670,771308.2,2575180.0,18.47,5.824,10,
671,771308.0,2575180.1,18.69,5.766,10,
672,771304.0,2575182.1,23.17,3.667,10,
673,771300.3,2575184.0,27.35,3.351,10,
674,771300.0,2575184.1,27.65,1.362,10,
675,771296.0,2575186.2,32.13,1.429,10,
676,771292.3,2575188.0,36.22,1.221,10,
677,771292.0,2575188.2,36.61,0.716,10,
678,771288.0,2575190.2,41.09,0.365,10,
679,771284.4,2575192.0,45.10,0.073,10,
680,771284.0,2575192.2,45.57,0.016,10,
681,771280.0,2575194.2,50.05,-2.347,10,
682,771276.5,2575196.0,53.97,-3.696,10,
683,771276.0,2575196.3,54.53,-3.912,10,
684,771272.0,2575198.3,59.01,-5.568,10,
685,771268.6,2575200.0,62.85,-6.755,10,
686,771268.0,2575200.3,63.50,-6.950,10,
687,771264.0,2575202.3,67.98,-8.484,10,
688,771260.7,2575204.0,71.72,-9.279,10,
689,771260.0,2575204.3,72.46,-9.454,10,
690,771256.0,2575206.4,76.94,-10.125,10,
691,771252.7,2575208.0,80.60,-10.711,10,
692,771252.0,2575208.4,81.42,-10.851,10,
693,771248.0,2575210.4,85.90,-11.498,10,
694,771244.8,2575212.0,89.47,-11.956,10,
695,771244.0,2575212.4,90.38,-12.063,10,
696,771240.0,2575214.4,94.86,-12.493,10,
697,771236.9,2575216.0,98.34,-12.763,10,
698,771236.0,2575216.5,99.34,-12.810,10,
699,771232.0,2575218.5,103.82,-12.929,10,
700,771229.0,2575220.0,107.22,-12.910,10,
