2652058.94	710865.33	15-11-2024	43:05.0	11.3	-51.2	1	2.390188277	91.36
2652061.31	710865.33	15-11-2024	43:06.1	11.38	-51.22	1	2.37	93.73
2652063.72	710865.38	15-11-2024	43:07.0	11.46	-51.31	1	2.410518617	96.14
2652066.14	710865.48	15-11-2024	43:08.0	11.56	-51.36	1	2.422065234	98.56
2652068.6	710865.64	15-11-2024	43:09.0	11.64	-51.43	1	2.465197761	101.02
2652071.07	710865.84	15-11-2024	43:10.0	11.7	-51.37	1	2.478083937	103.50
2652073.57	710866.08	15-11-2024	43:11.1	11.71	-51.39	1	2.51149358	106.01
2652076.1	710866.33	15-11-2024	43:12.0	11.71	-51.36	1	2.542321774	108.56
2652078.66	710866.61	15-11-2024	43:13.0	11.72	-51.35	1	2.575266977	111.13
2652081.24	710866.91	15-11-2024	43:14.0	11.73	-51.38	1	2.597383299	113.73
2652083.83	710867.21	15-11-2024	43:15.0	11.72	-51.38	1	2.607316628	116.34
2652086.43	710867.54	15-11-2024	43:16.1	11.73	-51.35	1	2.620858638	118.96
2652089.03	710867.9	15-11-2024	43:17.0	11.78	-51.32	1	2.624804754	121.58
2652091.64	710868.27	15-11-2024	43:18.0	11.83	-51.34	1	2.636095598	124.22
2652094.25	710868.68	15-11-2024	43:19.0	11.87	-51.39	1	2.642006813	126.86
2652096.88	710869.09	15-11-2024	43:20.0	11.91	-51.43	1	2.661766331	129.52
2652099.53	710869.52	15-11-2024	43:21.1	11.95	-51.49	1	2.684660127	132.21
2652102.15	710869.9	15-11-2024	43:22.0	12.02	-51.53	1	2.647413833	134.85
2652104.76	710870.28	15-11-2024	43:23.0	12.08	-51.6	1	2.637517772	137.49
2652107.35	710870.6	15-11-2024	43:24.0	12.15	-51.62	1	2.609693469	140.10
2652109.94	710870.87	15-11-2024	43:25.0	12.23	-51.77	1	2.60403533	142.71
2652112.46	710871.09	15-11-2024	43:26.1	12.31	-51.86	1	2.529584946	145.23
2652114.95	710871.25	15-11-2024	43:27.0	12.38	-51.93	1	2.495135267	147.73
2652117.39	710871.35	15-11-2024	43:28.0	12.4	-51.93	1	2.442048321	150.17
2652119.83	710871.39	15-11-2024	43:29.0	12.44	-51.98	1	2.440327847	152.61
2652122.23	710871.37	15-11-2024	43:30.0	12.49	-52.02	1	2.400083332	155.01
2652124.62	710871.31	15-11-2024	43:31.4	12.54	-52.01	1	2.39075302	157.40
2652127.01	710871.23	15-11-2024	43:32.0	12.58	-52.07	1	2.391338537	159.79
2652129.37	710871.11	15-11-2024	43:33.0	12.6	-52.11	1	2.363048878	162.16
2652131.71	710870.99	15-11-2024	43:34.0	12.62	-52.14	1	2.343074903	164.50
2652134.03	710870.88	15-11-2024	43:35.0	12.62	-52.15	1	2.322606294	166.82
2652136.34	710870.75	15-11-2024	43:36.2	12.62	-52.13	1	2.313655117	169.14
2652138.69	710870.65	15-11-2024	43:37.0	12.61	-52.13	1	2.352126697	171.49
2652141.06	710870.55	15-11-2024	43:38.0	12.58	-52.11	1	2.372108767	173.86
2652143.45	710870.45	15-11-2024	43:39.0	12.54	-52.07	1	2.392091136	176.25
2652145.86	710870.37	15-11-2024	43:40.0	12.49	-52.03	1	2.411327435	178.66
2652148.26	710870.27	15-11-2024	43:41.1	12.42	-51.91	1	2.40208243	181.07
2652150.68	710870.25	15-11-2024	43:42.0	12.34	-51.87	1	2.420082644	183.49
2652153.06	710870.23	15-11-2024	43:43.0	12.28	-51.78	1	2.380084032	185.87
2652155.48	710870.3	15-11-2024	43:44.0	12.22	-51.73	1	2.421012185	188.29
2652157.89	710870.41	15-11-2024	43:45.0	12.17	-51.6	1	2.412509067	190.70
2652160.38	710870.57	15-11-2024	43:46.2	12.11	-51.52	1	2.495135267	193.20
2652162.93	710870.8	15-11-2024	43:47.0	12.06	-51.5	1	2.560351539	195.76
2652165.5	710871.05	15-11-2024	43:48.0	12.01	-51.4	1	2.582130903	198.34
2652168.1	710871.37	15-11-2024	43:49.0	11.98	-51.38	1	2.619618293	200.96
2652170.73	710871.71	15-11-2024	43:50.0	11.96	-51.36	1	2.651886121	203.61
2652173.38	710872.09	15-11-2024	43:51.1	11.94	-51.38	1	2.677106647	206.29
2652176	710872.43	15-11-2024	43:52.0	11.93	-51.33	1	2.641968963	208.93
2652178.65	710872.78	15-11-2024	43:53.0	11.92	-51.35	1	2.673013281	211.60
2652181.28	710873.08	15-11-2024	43:54.0	11.91	-51.34	1	2.647054967	214.25
2652183.89	710873.37	15-11-2024	43:55.0	11.88	-51.31	1	2.62606169	216.87
2652186.49	710873.68	15-11-2024	43:56.1	11.86	-51.3	1	2.618415552	219.49
2652189.08	710873.92	15-11-2024	43:57.0	11.82	-51.23	1	2.601095923	222.09
2652191.67	710874.18	15-11-2024	43:58.0	11.77	-51.14	1	2.60301748	224.70
2652194.27	710874.41	15-11-2024	43:59.0	11.74	-51.13	1	2.610153252	227.31
2652196.84	710874.61	15-11-2024	44:00.0	11.68	-51.07	1	2.577770354	229.88
2652199.39	710874.79	15-11-2024	44:01.1	11.62	-50.98	1	2.556345047	232.44
2652201.94	710874.95	15-11-2024	44:02.0	11.57	-50.94	1	2.555014677	235.00
2652204.47	710875.09	15-11-2024	44:03.0	11.59	-50.95	1	2.533870557	237.53
2652206.98	710875.24	15-11-2024	44:04.0	11.59	-50.94	1	2.514478077	240.04
2652209.44	710875.33	15-11-2024	44:05.0	11.54	-50.75	1	2.461645791	242.51
2652211.93	710875.47	15-11-2024	44:06.1	11.51	-50.74	1	2.493932638	245.00
2652214.42	710875.62	15-11-2024	44:07.0	11.47	-50.69	1	2.49451398	247.49
2652216.93	710875.79	15-11-2024	44:08.0	11.46	-50.69	1	2.515750385	250.01
2652219.44	710875.95	15-11-2024	44:09.0	11.44	-50.66	1	2.515094431	252.53
2652221.97	710876.15	15-11-2024	44:10.0	11.47	-50.71	1	2.537892827	255.06
2652224.48	710876.33	15-11-2024	44:11.1	11.5	-50.74	1	2.516445906	257.58
2652227	710876.53	15-11-2024	44:12.0	11.52	-50.76	1	2.52792405	260.11
2652229.51	710876.74	15-11-2024	44:13.0	11.52	-50.77	1	2.518769541	262.63
2652232.01	710876.94	15-11-2024	44:14.0	11.43	-50.68	1	2.507987241	265.13
2652234.52	710877.15	15-11-2024	44:15.0	11.37	-50.62	1	2.518769541	267.65
2652237.03	710877.35	15-11-2024	44:16.2	11.37	-50.62	1	2.51795552	270.17
2652239.54	710877.56	15-11-2024	44:17.0	11.37	-50.62	1	2.518769541	272.69
2652242.05	710877.77	15-11-2024	44:18.0	11.36	-50.61	1	2.518769541	275.21
2652244.57	710877.95	15-11-2024	44:19.0	11.36	-50.6	1	2.526420393	277.74
2652247.08	710878.09	15-11-2024	44:20.0	11.38	-50.49	1	2.513901351	280.25
2652263.58	710859.1	15-11-2024	44:48.0	10.58	-49.82	2		
2652262.19	710858.3	15-11-2024	44:49.0	10.65	-50.02	2		
2652260.69	710857.52	15-11-2024	44:50.0	10.67	-50.26	2		
2652259.11	710856.81	15-11-2024	44:51.1	10.69	-50.32	2		
2652257.43	710856.14	15-11-2024	44:52.0	10.77	-50.32	2		
2652255.66	710855.56	15-11-2024	44:53.0	10.82	-50.27	2		
2652253.85	710855.06	15-11-2024	44:54.0	10.82	-50.32	2		
2652251.94	710854.6	15-11-2024	44:55.0	10.85	-50.52	2		
2652250.01	710854.28	15-11-2024	44:56.1	10.87	-50.63	2		
2652247.97	710854.11	15-11-2024	44:57.0	10.88	-50.55	2		
2652245.89	710854.04	15-11-2024	44:58.0	10.89	-50.5	2		
2652243.84	710854.04	15-11-2024	44:59.0	10.91	-50.61	2		
2652241.74	710854.09	15-11-2024	45:00.0	10.94	-50.84	2		
2652239.61	710854.22	15-11-2024	45:01.1	10.97	-50.94	2		
2652237.42	710854.4	15-11-2024	45:02.0	11.01	-50.89	2		
2652235.17	710854.58	15-11-2024	45:03.0	11	-50.82	2		
2652232.91	710854.78	15-11-2024	45:04.0	11.04	-50.85	2		
2652230.62	710854.94	15-11-2024	45:05.0	11.13	-50.87	2		
