N,E,Date,Time,RL,Others,Section No
2646762.07,715670.93,16-11-2024,36:58.7,1.7,-43.83,2
2646762.26,715670.41,16-11-2024,36:59.7,1.76,-43.89,2
2646762.43,715669.89,16-11-2024,37:00.7,1.78,-43.9,2
2646762.59,715669.36,16-11-2024,37:01.8,1.79,-43.9,2
2646762.74,715668.83,16-11-2024,37:02.7,1.8,-43.93,2
2646762.89,715668.27,16-11-2024,37:03.7,1.81,-43.92,2
2646763.04,715667.69,16-11-2024,37:04.7,1.85,-43.93,2
2646763.19,715667.11,16-11-2024,37:05.7,1.83,-43.9,2
2646763.34,715666.48,16-11-2024,37:06.8,1.85,-43.9,2
2646763.5,715665.85,16-11-2024,37:07.7,1.85,-43.94,2
2646763.66,715665.18,16-11-2024,37:08.7,1.91,-44,2
2646763.82,715664.49,16-11-2024,37:09.6,1.93,-43.99,2
2646764,715663.77,16-11-2024,37:10.7,1.98,-44.08,2
2646764.15,715663.03,16-11-2024,37:11.8,1.95,-44.05,2
2646764.3,715662.26,16-11-2024,37:12.7,1.94,-44.04,2
2646764.43,715661.45,16-11-2024,37:13.7,1.94,-44.06,2
2646764.55,715660.62,16-11-2024,37:14.7,1.95,-44.03,2
2646764.66,715659.76,16-11-2024,37:15.7,1.93,-43.99,2
2646764.75,715658.87,16-11-2024,37:16.8,1.95,-44.02,2
2646764.8,715657.96,16-11-2024,37:17.7,1.99,-44.02,2
2646764.84,715657.02,16-11-2024,37:18.7,2.06,-44.09,2
2646764.86,715656.06,16-11-2024,37:19.7,2.12,-44.15,2
2646764.88,715655.09,16-11-2024,37:20.7,2.21,-44.24,2
2646764.87,715654.13,16-11-2024,37:21.8,2.25,-44.25,2
2646764.87,715653.15,16-11-2024,37:22.7,2.41,-44.41,2
2646764.86,715652.16,16-11-2024,37:23.6,2.56,-44.58,2
2646764.84,715651.12,16-11-2024,37:24.7,2.72,-44.74,2
2646764.82,715650.06,16-11-2024,37:25.7,2.87,-44.87,2
2646764.79,715648.98,16-11-2024,37:26.8,3.03,-45.03,2
2646764.76,715647.87,16-11-2024,37:27.7,3.19,-45.2,2
2646764.72,715646.77,16-11-2024,37:28.7,3.32,-45.3,2
2646764.67,715645.67,16-11-2024,37:29.7,3.43,-45.4,2
2646764.61,715644.53,16-11-2024,37:30.7,3.53,-45.5,2
2646764.54,715643.37,16-11-2024,37:31.8,3.64,-45.61,2
2646764.49,715642.2,16-11-2024,37:32.7,3.74,-45.71,2
2646764.42,715641.01,16-11-2024,37:33.7,3.85,-45.82,2
2646764.34,715639.82,16-11-2024,37:34.7,3.95,-45.9,2
2646764.26,715638.62,16-11-2024,37:35.7,4.06,-46.02,2
2646764.18,715637.43,16-11-2024,37:36.8,4.19,-46.18,2
2646764.1,715636.25,16-11-2024,37:37.7,4.31,-46.29,2
2646764,715635.06,16-11-2024,37:38.7,4.43,-46.4,2
2646763.91,715633.89,16-11-2024,37:39.7,4.55,-46.51,2
2646763.84,715632.71,16-11-2024,37:40.7,4.67,-46.65,2
2646763.73,715631.51,16-11-2024,37:41.8,4.78,-46.74,2
2646763.63,715630.34,16-11-2024,37:42.7,4.87,-46.83,2
2646763.52,715629.17,16-11-2024,37:43.7,4.94,-46.91,2
