N,E,RL,Section No,pointno
2646787.2,715617.68,7.78,4,P318
2646787.47,715616.77,7.99,4,P319
2646787.74,715615.89,8.18,4,P320
2646788.01,715615,8.35,4,P321
2646788.26,715614.13,8.47,4,P322
2646788.51,715613.31,8.59,4,P323
2646788.72,715612.53,8.65,4,P324
2646788.96,715611.8,8.63,4,P325
2646789.15,715611.1,8.55,4,P326
2646789.34,715610.44,8.32,4,P327
2646789.51,715609.81,8.07,4,P328
2646789.69,715609.21,7.78,4,P329
2646789.86,715608.66,7.47,4,P330
2646790.05,715608.18,7.15,4,P331
2646790.22,715607.78,6.83,4,P332
2646790.42,715607.43,6.45,4,P333
2646790.62,715607.12,6.08,4,P334
2646790.84,715606.81,5.8,4,P335
2646791.09,715606.49,5.53,4,P336
2646791.35,715606.17,5.27,4,P337
2646791.53,715606.02,5.16,4,P338
2646791.53,715606.02,5.04,4,P339
2646798.09,715607.11,5.21,1,P340
2646798.74,715607.1,5.16,1,P341
2646799.06,715607.09,5.18,1,P342
2646799.41,715607.08,5.21,1,P343
2646799.79,715607.05,5.23,1,P344
2646800.19,715606.98,5.29,1,P345
2646800.58,715606.91,5.41,1,P346
2646800.97,715606.84,5.5,1,P347
2646801.37,715606.77,5.57,1,P348
2646801.79,715606.68,5.69,1,P349
2646802.22,715606.61,5.82,1,P350
2646802.66,715606.54,5.95,1,P351
2646803.1,715606.51,6.09,1,P352
2646803.54,715606.54,6.22,1,P353
2646804,715606.63,6.39,1,P354
2646804.48,715606.77,6.74,1,P355
2646804.97,715606.96,7.04,1,P356
2646805.47,715607.2,7.3,1,P357
2646805.99,715607.46,7.57,1,P358
2646806.5,715607.77,7.86,1,P359
2646807.03,715608.03,8.08,1,P360
2646807.6,715608.33,8.28,1,P361
2646808.22,715608.65,8.46,1,P362
2646808.88,715609.01,8.62,1,P363
2646809.57,715609.43,8.74,1,P364
2646810.29,715609.9,8.78,1,P365
2646811.03,715610.43,8.61,1,P366
2646811.76,715611.02,8.42,1,P367
2646812.47,715611.69,8.18,1,P368
2646813.17,715612.43,7.94,1,P369
2646813.83,715613.24,7.67,1,P370
2646814.46,715614.19,7.42,1,P371
2646815.05,715615.26,7.15,1,P372
2646815.61,715616.43,6.87,1,P373
2646816.12,715617.69,6.6,1,P374
2646816.67,715618.98,6.33,1,P375
2646817.2,715620.25,6.06,1,P376
2646817.76,715621.53,5.8,1,P377
2646818.37,715622.79,5.54,1,P378
2646819.02,715624.04,5.29,1,P379
2646819.71,715625.3,5.05,1,P380
2646820.44,715626.52,4.82,1,P381
2646821.23,715627.71,4.58,1,P382
2646822.06,715628.89,4.39,1,P383
2646822.99,715630.05,4.24,1,P384
2646824.04,715631.17,4.1,1,P385
2646825.2,715632.26,4,1,P386
2646826.44,715633.3,3.92,1,P387
2646827.78,715634.31,3.86,1,P388
2646829.22,715635.23,3.83,1,P389
2646830.74,715636.09,3.83,1,P390
2646832.35,715636.88,3.86,1,P391
2646834,715637.6,3.9,1,P392
2646835.74,715638.29,3.94,1,P393
2646837.51,715638.97,3.97,1,P394
2646839.24,715639.66,3.98,1,P395
2646840.97,715640.36,3.98,1,P396
2646842.68,715641.11,3.98,1,P397
2646844.39,715641.95,3.98,1,P398
2646846.09,715642.86,3.99,1,P399
2646847.73,715643.88,3.99,1,P400
2646849.33,715645.02,3.97,1,P401
2646850.91,715646.26,3.93,1,P402
2646852.48,715647.58,3.89,1,P403
2646854.03,715648.97,3.85,1,P404
2646855.59,715650.41,3.83,1,P405
2646857.17,715651.85,3.83,1,P406
2646858.78,715653.29,3.86,1,P407
2646860.4,715654.71,3.88,1,P408
2646862.04,715656.1,3.89,1,P409
2646863.73,715657.45,3.89,1,P410
2646865.43,715658.82,3.89,1,P411
2646867.15,715660.17,3.92,1,P412
2646868.91,715661.5,3.96,1,P413
2646870.67,715662.82,4.01,1,P414
2646872.43,715664.14,4.05,1,P415
2646874.24,715665.46,4.07,1,P416
2646876.07,715666.76,4.07,1,P417
2646877.91,715668.08,4.04,1,P418
2646879.77,715669.41,4,1,P419
2646881.63,715670.74,3.97,1,P420
2646883.48,715672.1,3.95,1,P421
2646885.33,715673.52,3.93,1,P422
2646887.2,715674.96,3.9,1,P423
2646889.06,715676.43,3.85,1,P424
2646890.95,715677.9,3.83,1,P425
2646892.86,715679.35,3.84,1,P426
2646894.75,715680.75,3.82,1,P427
2646896.55,715682.05,3.81,1,P428
2646898.25,715683.25,3.82,1,P429
2646899.86,715684.31,3.83,1,P430
2646901.34,715685.2,3.85,1,P431
2646904.86,715674.88,4.97,2,P432
2646903.97,715673.53,5.1,2,P433
2646902.98,715672.23,5.05,2,P434
2646901.87,715670.98,4.99,2,P435
2646900.69,715669.72,4.95,2,P436
2646899.41,715668.5,4.92,2,P437
2646898.08,715667.32,4.91,2,P438
2646896.7,715666.13,4.93,2,P439
2646895.26,715664.95,4.98,2,P440
2646893.77,715663.81,5.02,2,P441
2646892.26,715662.65,5.07,2,P442
2646890.71,715661.47,5.09,2,P443
2646889.14,715660.32,5.09,2,P444
2646887.57,715659.13,5.12,2,P445
2646885.99,715657.93,5.15,2,P446
2646884.41,715656.72,5.21,2,P447
2646882.83,715655.49,5.24,2,P448
2646881.25,715654.2,5.25,2,P449
2646879.68,715652.88,5.23,2,P450
2646878.08,715651.51,5.18,2,P451
2646876.49,715650.12,5.13,2,P452
2646874.91,715648.75,5.04,2,P453
2646873.37,715647.42,4.93,2,P454
2646871.83,715646.11,4.83,2,P455
2646870.3,715644.82,4.81,2,P456
2646868.76,715643.56,4.79,2,P457
2646867.23,715642.33,4.74,2,P458
2646865.69,715641.13,4.7,2,P459
2646864.16,715639.98,4.67,2,P460
2646862.66,715638.89,4.63,2,P461
2646861.19,715637.84,4.6,2,P462
2646859.7,715636.82,4.56,2,P463
2646858.22,715635.8,4.55,2,P464
2646856.75,715634.8,4.54,2,P465
2646855.28,715633.83,4.53,2,P466
2646853.82,715632.88,4.49,2,P467
2646852.38,715631.97,4.46,2,P468
2646850.95,715631.08,4.43,2,P469
2646849.55,715630.22,4.43,2,P470
2646848.19,715629.36,4.45,2,P471
2646846.87,715628.51,4.47,2,P472
2646845.55,715627.69,4.5,2,P473
2646844.25,715626.85,4.52,2,P474
2646842.97,715625.99,4.54,2,P475
2646841.7,715625.13,4.56,2,P476
2646840.45,715624.27,4.6,2,P477
2646839.22,715623.42,4.64,2,P478
2646837.97,715622.58,4.71,2,P479
2646836.75,715621.75,4.79,2,P480
2646835.54,715620.94,4.89,2,P481
2646834.33,715620.14,5,2,P482
2646833.12,715619.37,5.14,2,P483
2646831.9,715618.6,5.31,2,P484
2646830.74,715617.85,5.53,2,P485
2646829.53,715617.13,5.78,2,P486
2646828.36,715616.4,6.03,2,P487
2646827.19,715615.66,6.28,2,P488
2646826.03,715614.93,6.55,2,P489
2646824.89,715614.21,6.81,2,P490
2646823.76,715613.51,7.08,2,P491
2646822.65,715612.81,7.35,2,P492
2646821.57,715612.07,7.61,2,P493
2646820.5,715611.35,7.87,2,P494
2646819.46,715610.63,8.1,2,P495
2646818.45,715609.93,8.29,2,P496
2646817.49,715609.26,8.44,2,P497
2646816.57,715608.59,8.54,2,P498
2646815.69,715607.93,8.58,2,P499
2646814.86,715607.3,8.53,2,P500
2646814.06,715606.68,8.44,2,P501
2646813.28,715606.03,8.28,2,P502
2646812.57,715605.41,8.05,2,P503
2646811.94,715604.83,7.72,2,P504
2646811.41,715604.27,7.36,2,P505
2646810.94,715603.71,7,2,P506
2646810.54,715603.18,6.61,2,P507
2646810.16,715602.64,6.24,2,P508
2646809.79,715602.07,5.9,2,P509
2646809.43,715601.48,5.61,2,P510
2646809.13,715600.91,5.39,2,P511
2646809.06,715600.55,5.18,2,P512
2646809.02,715600.33,5.02,2,P513
2646809.01,715600.29,4.9,2,P514
2646809,715600.29,4.87,2,P515
2646809,715600.29,4.85,2,P516
2646809,715600.29,4.82,2,P517
2646809,715600.29,4.81,2,P518
2646808.99,715600.3,4.81,2,P519
2646808.99,715600.31,4.81,2,P520
2646808.98,715600.31,4.81,2,P521
2646808.99,715600.31,4.82,2,P522
2646808.98,715600.31,4.82,2,P523
2646808.98,715600.31,4.82,2,P524
2646820.88,715601.58,8.96,3,P525
2646822.05,715601.81,8.87,3,P526
2646823.26,715602.12,8.83,3,P527
2646824.54,715602.52,8.75,3,P528
2646825.82,715603.05,8.64,3,P529
2646827.1,715603.66,8.49,3,P530
2646828.38,715604.4,8.33,3,P531
2646829.69,715605.3,8.14,3,P532
2646831.04,715606.43,7.96,3,P533
2646832.45,715607.61,7.77,3,P534
2646833.9,715608.84,7.57,3,P535
2646835.42,715610.13,7.37,3,P536
2646837,715611.44,7.17,3,P537
2646838.65,715612.75,7,3,P538
2646840.42,715613.97,6.84,3,P539
2646842.24,715615.16,6.71,3,P540
2646844.14,715616.32,6.63,3,P541
2646846.11,715617.41,6.58,3,P542
2646848.11,715618.48,6.46,3,P543
2646850.13,715619.54,6.33,3,P544
2646852.16,715620.62,6.21,3,P545
2646854.17,715621.73,6.07,3,P546
2646856.16,715622.9,5.94,3,P547
2646858.12,715624.13,5.8,3,P548
2646860.02,715625.46,5.64,3,P549
2646861.84,715626.85,5.51,3,P550
2646863.67,715628.34,5.39,3,P551
2646865.5,715629.89,5.28,3,P552
2646867.31,715631.45,5.2,3,P553
2646869.14,715632.99,5.15,3,P554
2646870.95,715634.5,5.13,3,P555
2646872.77,715635.97,5.15,3,P556
2646874.59,715637.4,5.19,3,P557
2646876.39,715638.83,5.22,3,P558
2646878.21,715640.24,5.27,3,P559
2646880.03,715641.66,5.36,3,P560
2646881.85,715643.07,5.44,3,P561
2646883.7,715644.5,5.53,3,P562
2646885.51,715645.96,5.61,3,P563
2646887.31,715647.46,5.66,3,P564
2646889.1,715649.01,5.7,3,P565
2646890.89,715650.62,5.74,3,P566
2646892.68,715652.28,5.77,3,P567
2646894.5,715653.94,5.8,3,P568
2646896.36,715655.61,5.85,3,P569
2646898.26,715657.29,5.9,3,P570
2646900.2,715658.92,5.92,3,P571
2646902.16,715660.51,5.94,3,P572
2646904.12,715662.02,5.95,3,P573
2646906,715663.43,5.94,3,P574
2646907.8,715664.74,5.97,3,P575
2646909.49,715665.92,6.02,3,P576
2646911.1,715666.97,6.03,3,P577
2646912.61,715667.87,6.05,3,P578
2646914,715668.66,6.06,3,P579
2646915.3,715669.32,6.08,3,P580
2646916.49,715669.89,6.08,3,P581
2646924.76,715665.53,7.37,4,P582
2646924.3,715664.88,7.34,4,P583
2646923.73,715664.19,7.31,4,P584
2646923.07,715663.45,7.28,4,P585
2646922.32,715662.69,7.25,4,P586
2646921.48,715661.92,7.22,4,P587
2646920.56,715661.11,7.21,4,P588
2646919.56,715660.28,7.19,4,P589
2646918.48,715659.4,7.19,4,P590
2646917.34,715658.49,7.21,4,P591
2646916.13,715657.53,7.26,4,P592
2646914.88,715656.55,7.37,4,P593
2646913.6,715655.55,7.41,4,P594
2646912.28,715654.54,7.42,4,P595
2646910.93,715653.5,7.43,4,P596
2646909.55,715652.4,7.42,4,P597
2646908.12,715651.27,7.39,4,P598
2646906.66,715650.1,7.32,4,P599
2646905.16,715648.9,7.24,4,P600
2646903.65,715647.69,7.13,4,P601
2646902.12,715646.47,7.03,4,P602
2646900.57,715645.22,6.92,4,P603
2646899.01,715643.94,6.76,4,P604
2646897.44,715642.64,6.69,4,P605
2646895.9,715641.35,6.64,4,P606
2646894.38,715640.1,6.57,4,P607
2646892.9,715638.89,6.53,4,P608
2646891.45,715637.71,6.49,4,P609
2646890.01,715636.57,6.47,4,P610
2646888.6,715635.45,6.46,4,P611
2646887.2,715634.36,6.46,4,P612
2646885.8,715633.3,6.41,4,P613
2646884.42,715632.27,6.35,4,P614
2646883.05,715631.27,6.27,4,P615
2646881.69,715630.31,6.2,4,P616
2646880.38,715629.38,6.14,4,P617
2646879.08,715628.49,6.1,4,P618
2646877.8,715627.61,6.07,4,P619
2646876.52,715626.72,6.06,4,P620
2646875.24,715625.85,6.1,4,P621
2646873.96,715624.98,6.15,4,P622
2646872.69,715624.13,6.22,4,P623
2646871.43,715623.29,6.31,4,P624
2646870.19,715622.48,6.41,4,P625
2646868.97,715621.69,6.52,4,P626
2646867.77,715620.91,6.62,4,P627
2646866.58,715620.15,6.72,4,P628
2646865.4,715619.39,6.81,4,P629
2646864.23,715618.61,6.9,4,P630
2646863.06,715617.83,6.98,4,P631
2646861.9,715617.04,7.02,4,P632
2646860.75,715616.26,7.06,4,P633
2646859.62,715615.48,7.09,4,P634
2646858.5,715614.7,7.11,4,P635
2646857.38,715613.91,7.13,4,P636
2646856.28,715613.11,7.15,4,P637
2646855.19,715612.32,7.18,4,P638
2646854.11,715611.53,7.21,4,P639
2646853.04,715610.73,7.26,4,P640
2646851.97,715609.94,7.32,4,P641
2646850.91,715609.14,7.39,4,P642
2646849.85,715608.35,7.47,4,P643
2646848.79,715607.56,7.61,4,P644
2646847.73,715606.77,7.74,4,P645
2646846.69,715605.98,7.88,4,P646
2646845.64,715605.19,8.02,4,P647
2646844.59,715604.4,8.16,4,P648
2646843.55,715603.62,8.31,4,P649
2646842.5,715602.85,8.46,4,P650
2646841.44,715602.08,8.61,4,P651
2646840.38,715601.31,8.75,4,P652
2646839.32,715600.56,8.89,4,P653
2646838.28,715599.81,9.01,4,P654
2646837.24,715599.08,9.08,4,P655
2646836.23,715598.36,9.15,4,P656
2646835.19,715597.66,9.21,4,P657
2646834.17,715596.99,9.28,4,P658
2646833.12,715596.34,9.35,4,P659
2646832.13,715595.7,9.4,4,P660
2646831.16,715595.11,9.44,4,P661
2646830.23,715594.54,9.36,4,P662
2646829.33,715594,9.19,4,P663
2646828.45,715593.47,8.99,4,P664
2646827.62,715592.95,8.72,4,P665
2646826.83,715592.43,8.42,4,P666
2646826.07,715591.91,8.11,4,P667
2646825.35,715591.38,7.76,4,P668
2646824.67,715590.86,7.29,4,P669
2646824.07,715590.35,6.81,4,P670
2646823.58,715589.88,6.35,4,P671
2646823.18,715589.41,5.8,4,P672
2646822.81,715588.91,5.32,4,P673
2646822.47,715588.41,4.93,4,P674
2646822.16,715587.89,4.58,4,P675
2646821.88,715587.38,4.27,4,P676
2646821.68,715586.89,3.99,4,P677
2646821.54,715586.45,3.78,4,P678
2646821.42,715586.02,3.58,4,P679
2646821.34,715585.58,3.48,4,P680
2646821.38,715585.23,3.36,4,P681
2646821.46,715584.97,3.18,4,P682
2646827.6,715584.11,7.22,5,P683
2646828.32,715584.14,7.7,5,P684
2646829.06,715584.19,7.93,5,P685
2646829.81,715584.19,8.15,5,P686
2646830.58,715584.23,8.34,5,P687
2646831.37,715584.26,8.5,5,P688
2646832.19,715584.34,8.64,5,P689
2646833.01,715584.46,8.95,5,P690
2646833.84,715584.66,9.26,5,P691
2646834.69,715584.89,9.55,5,P692
2646835.54,715585.19,9.7,5,P693
2646836.41,715585.59,9.84,5,P694
2646837.31,715586.12,9.93,5,P695
2646838.22,715586.82,9.98,5,P696
2646839.17,715587.62,10.03,5,P697
2646840.11,715588.49,10.06,5,P698
