715590.95,2646758.08,4.66
715591.38,2646757.76,4.44
715591.79,2646757.45,4.32
715592.22,2646757.14,4.22
715592.63,2646756.78,4.15
715593.07,2646756.4,4.08
715593.55,2646755.99,3.99
715594.01,2646755.56,3.8
715594.53,2646755.09,3.62
715595.02,2646754.64,3.43
715595.58,2646754.17,3.24
715596.16,2646753.69,3.02
715596.79,2646753.23,2.79
715597.46,2646752.78,2.51
715598.2,2646752.32,2.23
715598.99,2646751.87,1.97
715599.86,2646751.44,1.72
715600.77,2646751.07,1.52
715601.76,2646750.75,1.33
715602.79,2646750.47,1.15
715603.88,2646750.27,1
715605.02,2646750.16,0.95
715606.17,2646750.08,0.99
715607.38,2646750.09,1.09
715608.61,2646750.17,1.26
715609.86,2646750.33,1.43
715611.13,2646750.52,1.57
715612.38,2646750.76,1.71
715613.6,2646750.96,1.83
715614.75,2646751.15,1.96
715615.87,2646751.33,2.09
715617.01,2646751.52,2.23
715618.18,2646751.69,2.3
715619.34,2646751.87,2.34
715620.53,2646752.03,2.38
715621.71,2646752.18,2.45
715622.9,2646752.32,2.52
715624.06,2646752.41,2.63
715625.23,2646752.51,2.76
715626.4,2646752.59,2.9
715627.57,2646752.66,3.03
715628.73,2646752.72,3.14
715629.89,2646752.77,3.24
715631.03,2646752.84,3.33
715632.14,2646752.84,3.4
715633.28,2646752.87,3.46
715634.44,2646752.9,3.5
715635.59,2646752.9,3.53
715636.74,2646752.92,3.54
715637.88,2646752.9,3.55
715639.01,2646752.89,3.57
715640.12,2646752.86,3.64
715641.24,2646752.83,3.72
715642.35,2646752.78,3.82
715643.46,2646752.73,3.93
715644.55,2646752.65,4.06
715645.65,2646752.58,4.18
715646.75,2646752.49,4.32
715647.83,2646752.4,4.46
715648.91,2646752.31,4.61
715650.02,2646752.22,4.76
715651.11,2646752.13,4.9
715652.19,2646752.06,5.02
715653.27,2646751.98,5.13
715654.36,2646751.91,5.24
715655.41,2646751.82,5.34
715656.49,2646751.76,5.44
715657.57,2646751.71,5.53
715658.64,2646751.65,5.62
715659.71,2646751.6,5.69
715660.77,2646751.57,5.74
715661.83,2646751.56,5.78
715662.89,2646751.54,5.82
715663.93,2646751.56,5.85
715664.97,2646751.57,5.86
715665.99,2646751.61,5.87
715667,2646751.65,5.88
715668.01,2646751.72,5.88
715669,2646751.8,5.88
715669.95,2646751.94,5.89
715670.84,2646752.16,5.89
715674.88,2646759.96,6.46
715674.51,2646760.21,6.23
715674.11,2646760.45,6.18
715673.7,2646760.69,6.15
715673.27,2646760.93,6.12
715672.82,2646761.14,6.05
715672.37,2646761.37,6.02
715671.91,2646761.62,5.88
715671.44,2646761.87,5.74
715670.93,2646762.07,5.72
715670.41,2646762.26,5.66
715669.89,2646762.43,5.64
715669.36,2646762.59,5.63
715668.83,2646762.74,5.62
715668.27,2646762.89,5.61
715667.69,2646763.04,5.57
715667.11,2646763.19,5.59
715666.48,2646763.34,5.57
715665.85,2646763.5,5.57
715665.18,2646763.66,5.51
715664.49,2646763.82,5.49
715663.77,2646764,5.44
715663.03,2646764.15,5.47
715662.26,2646764.3,5.48
715661.45,2646764.43,5.48
715660.62,2646764.55,5.47
715659.76,2646764.66,5.49
715658.87,2646764.75,5.47
715657.96,2646764.8,5.43
715657.02,2646764.84,5.36
715656.06,2646764.86,5.3
715655.09,2646764.88,5.21
715654.13,2646764.87,5.17
715653.15,2646764.87,5.01
715652.16,2646764.86,4.86
715651.12,2646764.84,4.7
715650.06,2646764.82,4.55
715648.98,2646764.79,4.39
715647.87,2646764.76,4.23
715646.77,2646764.72,4.1
715645.67,2646764.67,3.99
715644.53,2646764.61,3.89
715643.37,2646764.54,3.78
715642.2,2646764.49,3.68
715641.01,2646764.42,3.57
715639.82,2646764.34,3.47
715638.62,2646764.26,3.36
715637.43,2646764.18,3.23
715636.25,2646764.1,3.11
715635.06,2646764,2.99
715633.89,2646763.91,2.87
715632.71,2646763.84,2.75
715631.51,2646763.73,2.64
715630.34,2646763.63,2.55
715629.17,2646763.52,2.48
715628.01,2646763.41,2.42
715626.86,2646763.33,2.36
715625.71,2646763.24,2.3
715624.56,2646763.14,2.25
715623.42,2646763.05,2.19
715622.28,2646762.97,2.13
715621.18,2646762.91,2.04
715620.13,2646762.87,1.95
715619.09,2646762.83,1.86
715618.05,2646762.78,1.78
715617.01,2646762.76,1.66
715616.01,2646762.79,1.53
715615.01,2646762.83,1.41
715614.02,2646762.87,1.28
715613.06,2646762.92,1.17
715612.12,2646763,1.07
715611.22,2646763.1,0.96
715610.35,2646763.23,0.9
715609.5,2646763.37,0.84
715608.66,2646763.56,0.78
715607.87,2646763.78,0.72
