2025-03-03 13:20:40,151 - __main__ - 12 - DEBUG - Sucessfully Setup Logger for this programme.............
2025-03-03 13:20:40,490 - __main__ - 54 - DEBUG - {'trial_no': 3, 'h': 7.9919551856467805, 'Q_design': 17.666710276331678, 'n': 0.03, 's_0': 5e-05, 'B': 10, 'm': 2, 'A': 207.66224723524073, 'P': 45.74111013647631, 'R': 4.539947688537629, 'T': 41.96782074258712, 'dp_dh': 4.47213595499958, 'R_2_3': 2.7417881757549742, 'R_5_3': 12.4475748909786, 'f_h': 494.412390194376, 'f_prime_h': 170.73412189672507, 'h_calc': 5.096152139941366, 'Q_calc': 134.20082821269588}
2025-03-03 13:20:40,491 - __main__ - 54 - DEBUG - {'trial_no': 4, 'h': 5.096152139941366, 'Q_design': 17.666710276331678, 'n': 0.03, 's_0': 5e-05, 'B': 10, 'm': 2, 'A': 102.9030546662716, 'P': 32.79068521717983, 'R': 3.1381794550715343, 'T': 30.384608559765464, 'dp_dh': 4.47213595499958, 'R_2_3': 2.1434754639443656, 'R_5_3': 6.726610663400134, 'f_h': 145.61666901616576, 'f_prime_h': 95.21098033248654, 'h_calc': 3.5667416821595284, 'Q_calc': 51.98888831470764}
2025-03-03 13:20:40,491 - __main__ - 54 - DEBUG - {'trial_no': 5, 'h': 3.5667416821595284, 'Q_design': 17.666710276331678, 'n': 0.03, 's_0': 5e-05, 'B': 10, 'm': 2, 'A': 61.11070927610365, 'P': 25.95095371898131, 'R': 2.354854081197233, 'T': 24.266966728638113, 'dp_dh': 4.47213595499958, 'R_2_3': 1.7700111444212252, 'R_5_3': 4.168117967204908, 'f_h': 33.213132636275844, 'f_prime_h': 61.59319177680537, 'h_calc': 3.027507853254705, 'Q_calc': 25.49512071351797}
2025-03-03 13:20:40,492 - __main__ - 54 - DEBUG - {'trial_no': 6, 'h': 3.027507853254705, 'Q_design': 17.666710276331678, 'n': 0.03, 's_0': 5e-05, 'B': 10, 'm': 2, 'A': 48.60668613558487, 'P': 23.539426724583958, 'R': 2.0649052631694436, 'T': 22.11003141301882, 'dp_dh': 4.47213595499958, 'R_2_3': 1.6215614860815308, 'R_5_3': 3.3483708471626175, 'f_h': 3.8652263776043867, 'f_prime_h': 50.827145051672474, 'h_calc': 2.9514613553907214, 'Q_calc': 18.577752870473404}
2025-03-03 13:20:40,492 - __main__ - 54 - DEBUG - {'trial_no': 7, 'h': 2.9514613553907214, 'Q_design': 17.666710276331678, 'n': 0.03, 's_0': 5e-05, 'B': 10, 'm': 2, 'A': 46.936861818636885, 'P': 23.199336447234636, 'R': 2.023198461964276, 'T': 21.805845421562886, 'dp_dh': 4.47213595499958, 'R_2_3': 1.5996525308606133, 'R_5_3': 3.2364145401144544, 'f_h': 0.12916597292422693, 'f_prime_h': 49.355461646287665, 'h_calc': 2.9488443000818294, 'Q_calc': 17.697154988116104}
2025-03-03 13:20:40,493 - __main__ - 54 - DEBUG - {'trial_no': 8, 'h': 2.9488443000818294, 'Q_design': 17.666710276331678, 'n': 0.03, 's_0': 5e-05, 'B': 10, 'm': 2, 'A': 46.87980841306848, 'P': 23.18763262009152, 'R': 2.021759149851644, 'T': 21.795377200327316, 'dp_dh': 4.47213595499958, 'R_2_3': 1.5988937744055016, 'R_5_3': 3.232578118045153, 'f_h': 0.0023299910646983335, 'f_prime_h': 49.30502174547756, 'h_calc': 2.9487970434133968, 'Q_calc': 17.66725946049233}
2025-03-03 13:20:40,494 - __main__ - 54 - DEBUG - {'trial_no': 1, 'h': 20.0, 'Q_design': 17.667037495754535, 'n': 0.03, 's_0': 5e-05, 'B': 9, 'm': 2, 'A': 980.0, 'P': 98.44271909999159, 'R': 9.955027745673917, 'T': 89.0, 'dp_dh': 4.47213595499958, 'R_2_3': 4.627662201108781, 'R_5_3': 46.068505609644355, 'f_h': 4460.154064986255, 'f_prime_h': 617.8865562286719, 'h_calc': 12.781597171802506, 'Q_calc': 1068.9354323252635}
2025-03-03 13:20:40,494 - __main__ - 54 - DEBUG - {'trial_no': 2, 'h': 12.781597171802506, 'Q_design': 17.667037495754535, 'n': 0.03, 's_0': 5e-05, 'B': 9, 'm': 2, 'A': 441.7728270706822, 'P': 66.16104027433892, 'R': 6.6772352012431595, 'T': 60.126388687210024, 'dp_dh': 4.47213595499958, 'R_2_3': 3.545937823477885, 'R_5_3': 23.677060856346092, 'f_h': 1491.5440847943366, 'f_prime_h': 319.09147099948933, 'h_calc': 8.10725072148098, 'Q_calc': 369.2273497613407}
2025-03-03 13:20:40,495 - __main__ - 54 - DEBUG - {'trial_no': 3, 'h': 8.10725072148098, 'Q_design': 17.667037495754535, 'n': 0.03, 's_0': 5e-05, 'B': 9, 'm': 2, 'A': 204.42028501523657, 'P': 45.25672744773137, 'R': 4.51690381836223, 'T': 41.42900288592392, 'dp_dh': 4.47213595499958, 'R_2_3': 2.7325024621417935, 'R_5_3': 12.342450804932463, 'f_h': 483.6240400155109, 'f_prime_h': 168.40197040741856, 'h_calc': 5.235407602036068, 'Q_calc': 131.65831690902186}
2025-03-03 13:20:40,495 - __main__ - 54 - DEBUG - {'trial_no': 4, 'h': 5.235407602036068, 'Q_design': 17.667037495754535, 'n': 0.03, 's_0': 5e-05, 'B': 9, 'm': 2, 'A': 101.93765393723871, 'P': 32.41345457614363, 'R': 3.1449179135711454, 'T': 29.94163040814427, 'dp_dh': 4.47213595499958, 'R_2_3': 2.1465427532318353, 'R_5_3': 6.750700756885126, 'f_h': 143.85864024008424, 'f_prime_h': 94.4610413488569, 'h_calc': 3.712466099530335, 'Q_calc': 51.5748441777677}
